MatrixType,Size,Algorithm,BlockSize,ExecutionTime(ms)
单位矩阵,3000,blocked_optimized,16,4.09793
单位矩阵,3000,blocked_optimized,32,8.9408
单位矩阵,3000,blocked_optimized,64,11.2755
单位矩阵,3000,blocked_optimized,128,8.1346
单位矩阵,3000,blocked_optimized,256,9.65975
单位矩阵,4000,naive,0,133.339
单位矩阵,4000,cache_optimized,0,7.33096
单位矩阵,4000,openmp_simple,0,7.34557
单位矩阵,4000,openmp_optimized,0,7.7646
单位矩阵,4000,blocked,16,14.4685
单位矩阵,4000,blocked,32,29.8834
单位矩阵,4000,blocked,64,21.7694
单位矩阵,4000,blocked,128,19.7713
单位矩阵,4000,blocked,256,21.8192
单位矩阵,4000,blocked_optimized,16,7.86585
单位矩阵,4000,blocked_optimized,32,16.0915
单位矩阵,4000,blocked_optimized,64,23.3182
单位矩阵,4000,blocked_optimized,128,14.4417
单位矩阵,4000,blocked_optimized,256,18.0642
稀疏矩阵,500,naive,0,0.261309
稀疏矩阵,500,cache_optimized,0,0.0651302
稀疏矩阵,500,openmp_simple,0,0.07999
稀疏矩阵,500,openmp_optimized,0,0.0920656
稀疏矩阵,500,blocked,16,0.294613
稀疏矩阵,500,blocked,32,0.224074
稀疏矩阵,500,blocked,64,0.212359
稀疏矩阵,500,blocked,128,0.253746
稀疏矩阵,500,blocked,256,0.289073
稀疏矩阵,500,blocked_optimized,16,0.135136
稀疏矩阵,500,blocked_optimized,32,0.221114
稀疏矩阵,500,blocked_optimized,64,0.208707
稀疏矩阵,500,blocked_optimized,128,0.113077
稀疏矩阵,500,blocked_optimized,256,0.121689
稀疏矩阵,1000,naive,0,2.43884
稀疏矩阵,1000,cache_optimized,0,0.30076
稀疏矩阵,1000,openmp_simple,0,0.289241
稀疏矩阵,1000,openmp_optimized,0,0.284685
稀疏矩阵,1000,blocked,16,1.07376
稀疏矩阵,1000,blocked,32,1.04869
稀疏矩阵,1000,blocked,64,0.920613
稀疏矩阵,1000,blocked,128,1.08099
稀疏矩阵,1000,blocked,256,0.915297
稀疏矩阵,1000,blocked_optimized,16,0.457608
稀疏矩阵,1000,blocked_optimized,32,0.442973
稀疏矩阵,1000,blocked_optimized,64,0.651167
稀疏矩阵,1000,blocked_optimized,128,0.53949
稀疏矩阵,1000,blocked_optimized,256,0.581777
稀疏矩阵,2000,naive,0,20.8059
稀疏矩阵,2000,cache_optimized,0,1.74262
稀疏矩阵,2000,openmp_simple,0,1.62103
稀疏矩阵,2000,openmp_optimized,0,1.82504
稀疏矩阵,2000,blocked,16,4.11503
稀疏矩阵,2000,blocked,32,5.21195
稀疏矩阵,2000,blocked,64,4.01491
稀疏矩阵,2000,blocked,128,4.09042
稀疏矩阵,2000,blocked,256,4.56943
